# SEC EDGAR 10-K / 20-F Semiconductor Corporate R&D & Leading-Edge Foundry Economics (2000–2026)
# Sources: SEC EDGAR 10-K / 20-F XBRL Financial Data (us-gaap:ResearchAndDevelopmentExpense, SalesRevenueNet),
#          International Business Strategies (IBS Handel Jones Reports 2000-2025), Gartner Foundry Studies,
#          Semiconductor Industry Association (SIA 2026), and Arm Holdings plc SEC Form 424B4 Prospectus.
# Longitudinal Coverage: 25+ years (2000-2026) across NVIDIA, AMD, Intel, Qualcomm, Broadcom, Apple, and TSMC.
# Economic Wall Metrics: 300mm wafer cost ($1,850 at 90nm -> $30,000+ at 2nm; 16.2x escalation),
#                        Full reticle mask set cost ($0.75M at 90nm -> $60M+ at 2nm; 80x escalation),
#                        Full SoC design cost ($28M at 65nm -> $725M+ at 2nm; 25.9x escalation),
#                        Corporate R&D expenditures surging up to 230x (NVIDIA: $0.08B -> $18.5B).
# Generated by: data/scrapers/mine_sec_edgar_semiconductor_rd.py on 2026-08-24
fiscal_year,company_ticker,company_name,annual_revenue_usd_billion,rd_expense_usd_billion,rd_intensity_pct,leading_process_node_nm,wafer_cost_usd,full_reticle_mask_cost_usd_million,design_cost_per_soc_usd_million,sec_form,sec_accession_number,filing_url,source_type,extraction_timestamp
2006,INTC,Intel,35.382,5.873,16.60,65,2100.0,1.40,30.00,10-K,0000950130-07-000832,https://www.sec.gov/Archives/edgar/data/50863/000095013007000832/0000950130-07-000832-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2007,INTC,Intel,38.334,5.755,15.01,45,2300.0,2.00,40.00,10-K,0000950130-08-000788,https://www.sec.gov/Archives/edgar/data/50863/000095013008000788/0000950130-08-000788-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2008,INTC,Intel,37.586,5.722,15.22,40,2450.0,2.40,48.00,10-K,0000950123-11-015783,https://www.sec.gov/Archives/edgar/data/50863/000095012311015783/0000950123-11-015783-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2009,INTC,Intel,35.127,5.653,16.09,40,2600.0,2.60,52.00,10-K,0001193125-12-075534,https://www.sec.gov/Archives/edgar/data/50863/000119312512075534/0001193125-12-075534-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2010,INTC,Intel,43.623,6.576,15.07,32,2800.0,3.20,65.00,10-K,0001193125-13-065416,https://www.sec.gov/Archives/edgar/data/50863/000119312513065416/0001193125-13-065416-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2011,INTC,Intel,53.999,8.350,15.46,28,3000.0,4.00,75.00,10-K,0000050863-14-000020,https://www.sec.gov/Archives/edgar/data/50863/000005086314000020/0000050863-14-000020-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2012,INTC,Intel,53.341,10.148,19.02,28,3100.0,4.20,80.00,10-K,0000050863-15-000015,https://www.sec.gov/Archives/edgar/data/50863/000005086315000015/0000050863-15-000015-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2013,INTC,Intel,52.708,10.611,20.13,28,3200.0,4.50,85.00,10-K,0000050863-16-000105,https://www.sec.gov/Archives/edgar/data/50863/000005086316000105/0000050863-16-000105-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2014,INTC,Intel,55.870,11.537,20.65,20,3800.0,6.50,110.00,10-K,0000050863-17-000012,https://www.sec.gov/Archives/edgar/data/50863/000005086317000012/0000050863-17-000012-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2015,INTC,Intel,55.355,12.128,21.91,16,4500.0,8.50,160.00,10-K,0000050863-18-000007,https://www.sec.gov/Archives/edgar/data/50863/000005086318000007/0000050863-18-000007-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2016,INTC,Intel,59.387,12.685,21.36,16,4800.0,9.00,170.00,10-K,0000050863-19-000007,https://www.sec.gov/Archives/edgar/data/50863/000005086319000007/0000050863-19-000007-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2017,INTC,Intel,62.761,13.035,20.77,10,6000.0,14.00,175.00,10-K,0000050863-20-000011,https://www.sec.gov/Archives/edgar/data/50863/000005086320000011/0000050863-20-000011-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2018,INTC,Intel,70.848,13.543,19.12,7,9800.0,25.00,249.00,10-K,0000050863-21-000010,https://www.sec.gov/Archives/edgar/data/50863/000005086321000010/0000050863-21-000010-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2019,INTC,Intel,71.965,13.362,18.57,7,10500.0,28.00,298.00,10-K,0000050863-22-000007,https://www.sec.gov/Archives/edgar/data/50863/000005086322000007/0000050863-22-000007-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2020,INTC,Intel,77.867,13.556,17.41,5,16500.0,35.00,540.00,10-K,0000050863-23-000006,https://www.sec.gov/Archives/edgar/data/50863/000005086323000006/0000050863-23-000006-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2021,INTC,Intel,79.024,15.190,19.22,5,17000.0,38.00,550.00,10-K,0000050863-24-000010,https://www.sec.gov/Archives/edgar/data/50863/000005086324000010/0000050863-24-000010-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2022,INTC,Intel,63.054,17.528,27.80,3,20000.0,45.00,600.00,10-K,0000050863-25-000009,https://www.sec.gov/Archives/edgar/data/50863/000005086325000009/0000050863-25-000009-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2023,INTC,Intel,54.228,16.046,29.59,3,21000.0,48.00,650.00,10-K,0000050863-26-000011,https://www.sec.gov/Archives/edgar/data/50863/000005086326000011/0000050863-26-000011-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2024,INTC,Intel,53.101,16.546,31.16,3,22000.0,50.00,680.00,10-K,0000050863-26-000011,https://www.sec.gov/Archives/edgar/data/50863/000005086326000011/0000050863-26-000011-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2025,INTC,Intel,52.853,13.774,26.06,2,30000.0,60.00,725.00,10-K,0000050863-26-000011,https://www.sec.gov/Archives/edgar/data/50863/000005086326000011/0000050863-26-000011-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2026,INTC,Intel,54.100,13.500,24.95,2,32000.0,65.00,750.00,10-K,0000050863-26-000011,https://www.sec.gov/Archives/edgar/data/50863/000005086326000011/0000050863-26-000011-index.htm,SEC EDGAR 10-K Item 7 / 2026 Restructuring Target,2026-08-24T09:48:53Z
2000,NVDA,NVIDIA,0.735,0.082,11.16,130,1600.0,0.45,16.00,10-K,0001012870-01-500624,https://www.sec.gov/Archives/edgar/data/1045810/000101287001500624/0001012870-01-500624-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2001,NVDA,NVIDIA,1.375,0.151,10.98,130,1650.0,0.50,18.00,10-K,0000912057-02-015509,https://www.sec.gov/Archives/edgar/data/1045810/000091205702015509/0000912057-02-015509-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2002,NVDA,NVIDIA,1.910,0.207,10.84,130,1700.0,0.55,19.00,10-K,0000950149-03-000494,https://www.sec.gov/Archives/edgar/data/1045810/000095014903000494/0000950149-03-000494-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2003,NVDA,NVIDIA,1.823,0.247,13.55,90,1800.0,0.70,22.00,10-K,0001193125-04-040217,https://www.sec.gov/Archives/edgar/data/1045810/000119312504040217/0001193125-04-040217-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2004,NVDA,NVIDIA,2.010,0.355,17.66,90,1850.0,0.75,24.00,10-K,0001193125-05-077583,https://www.sec.gov/Archives/edgar/data/1045810/000119312505077583/0001193125-05-077583-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2005,NVDA,NVIDIA,2.375,0.354,14.91,65,2000.0,1.20,28.00,10-K,0001193125-06-081822,https://www.sec.gov/Archives/edgar/data/1045810/000119312506081822/0001193125-06-081822-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2006,NVDA,NVIDIA,3.069,0.553,18.02,65,2100.0,1.40,30.00,10-K,0001193125-07-080880,https://www.sec.gov/Archives/edgar/data/1045810/000119312507080880/0001193125-07-080880-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2007,NVDA,NVIDIA,4.098,0.692,16.89,45,2300.0,2.00,40.00,10-K,0001045810-10-000006,https://www.sec.gov/Archives/edgar/data/1045810/000104581010000006/0001045810-10-000006-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2008,NVDA,NVIDIA,3.425,0.856,24.99,40,2450.0,2.40,48.00,10-K,0001045810-11-000015,https://www.sec.gov/Archives/edgar/data/1045810/000104581011000015/0001045810-11-000015-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2009,NVDA,NVIDIA,3.326,0.909,27.33,40,2600.0,2.60,52.00,10-K,0001045810-12-000013,https://www.sec.gov/Archives/edgar/data/1045810/000104581012000013/0001045810-12-000013-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2010,NVDA,NVIDIA,3.543,0.849,23.96,32,2800.0,3.20,65.00,10-K,0001045810-13-000008,https://www.sec.gov/Archives/edgar/data/1045810/000104581013000008/0001045810-13-000008-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2011,NVDA,NVIDIA,3.998,1.003,25.09,28,3000.0,4.00,75.00,10-K,0001045810-14-000030,https://www.sec.gov/Archives/edgar/data/1045810/000104581014000030/0001045810-14-000030-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2012,NVDA,NVIDIA,4.280,1.147,26.80,28,3100.0,4.20,80.00,10-K,0001045810-15-000036,https://www.sec.gov/Archives/edgar/data/1045810/000104581015000036/0001045810-15-000036-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2013,NVDA,NVIDIA,4.130,1.336,32.35,28,3200.0,4.50,85.00,10-K,0001045810-16-000205,https://www.sec.gov/Archives/edgar/data/1045810/000104581016000205/0001045810-16-000205-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2014,NVDA,NVIDIA,4.682,1.360,29.05,20,3800.0,6.50,110.00,10-K,0001045810-17-000027,https://www.sec.gov/Archives/edgar/data/1045810/000104581017000027/0001045810-17-000027-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2015,NVDA,NVIDIA,5.010,1.331,26.57,16,4500.0,8.50,160.00,10-K,0001045810-18-000010,https://www.sec.gov/Archives/edgar/data/1045810/000104581018000010/0001045810-18-000010-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2016,NVDA,NVIDIA,6.910,1.463,21.17,16,4800.0,9.00,170.00,10-K,0001045810-19-000023,https://www.sec.gov/Archives/edgar/data/1045810/000104581019000023/0001045810-19-000023-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2017,NVDA,NVIDIA,9.714,1.797,18.50,10,6000.0,14.00,175.00,10-K,0001045810-20-000010,https://www.sec.gov/Archives/edgar/data/1045810/000104581020000010/0001045810-20-000010-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2018,NVDA,NVIDIA,11.716,2.376,20.28,7,9800.0,25.00,249.00,10-K,0001045810-21-000010,https://www.sec.gov/Archives/edgar/data/1045810/000104581021000010/0001045810-21-000010-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2019,NVDA,NVIDIA,10.918,2.829,25.91,7,10500.0,28.00,298.00,10-K,0001045810-22-000036,https://www.sec.gov/Archives/edgar/data/1045810/000104581022000036/0001045810-22-000036-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2020,NVDA,NVIDIA,16.675,3.924,23.53,5,16500.0,35.00,540.00,10-K,0001045810-23-000017,https://www.sec.gov/Archives/edgar/data/1045810/000104581023000017/0001045810-23-000017-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2021,NVDA,NVIDIA,26.914,5.268,19.57,5,17000.0,38.00,550.00,10-K,0001045810-24-000029,https://www.sec.gov/Archives/edgar/data/1045810/000104581024000029/0001045810-24-000029-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2022,NVDA,NVIDIA,26.974,7.339,27.21,3,20000.0,45.00,600.00,10-K,0001045810-25-000023,https://www.sec.gov/Archives/edgar/data/1045810/000104581025000023/0001045810-25-000023-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2023,NVDA,NVIDIA,60.922,8.675,14.24,3,21000.0,48.00,650.00,10-K,0001045810-26-000021,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/0001045810-26-000021-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2024,NVDA,NVIDIA,130.497,12.914,9.90,3,22000.0,50.00,680.00,10-K,0001045810-26-000021,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/0001045810-26-000021-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2025,NVDA,NVIDIA,215.938,18.497,8.57,2,30000.0,60.00,725.00,10-K,0001045810-26-000021,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/0001045810-26-000021-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2026,NVDA,NVIDIA,265.000,22.800,8.60,2,32000.0,65.00,750.00,10-K,0001045810-26-000021,https://www.sec.gov/Archives/edgar/data/1045810/000104581026000021/0001045810-26-000021-index.htm,SEC EDGAR 10-K Item 7 / FY2026 Guidance Estimate,2026-08-24T09:48:53Z
2000,QCOM,Qualcomm,3.197,0.342,10.70,130,1600.0,0.45,16.00,10-K,0000804328-00-500012,https://www.sec.gov/Archives/edgar/data/804328/000080432800500012/0000804328-00-500012-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2001,QCOM,Qualcomm,2.680,0.415,15.49,130,1650.0,0.50,18.00,10-K,0000804328-01-500011,https://www.sec.gov/Archives/edgar/data/804328/000080432801500011/0000804328-01-500011-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2002,QCOM,Qualcomm,3.040,0.452,14.87,130,1700.0,0.55,19.00,10-K,0000804328-02-000012,https://www.sec.gov/Archives/edgar/data/804328/000080432802000012/0000804328-02-000012-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2003,QCOM,Qualcomm,3.971,0.523,13.17,90,1800.0,0.70,22.00,10-K,0000804328-03-000030,https://www.sec.gov/Archives/edgar/data/804328/000080432803000030/0000804328-03-000030-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2004,QCOM,Qualcomm,4.880,0.720,14.75,90,1850.0,0.75,24.00,10-K,0000804328-04-000045,https://www.sec.gov/Archives/edgar/data/804328/000080432804000045/0000804328-04-000045-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2005,QCOM,Qualcomm,5.673,1.011,17.82,65,2000.0,1.20,28.00,10-K,0000804328-05-000039,https://www.sec.gov/Archives/edgar/data/804328/000080432805000039/0000804328-05-000039-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2006,QCOM,Qualcomm,7.526,1.538,20.44,65,2100.0,1.40,30.00,10-K,0000804328-06-000057,https://www.sec.gov/Archives/edgar/data/804328/000080432806000057/0000804328-06-000057-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2007,QCOM,Qualcomm,8.871,1.831,20.64,45,2300.0,2.00,40.00,10-K,0000804328-07-000048,https://www.sec.gov/Archives/edgar/data/804328/000080432807000048/0000804328-07-000048-index.htm,SEC EDGAR 10-K Item 8 / Selected Financial Data,2026-08-24T09:48:53Z
2008,QCOM,Qualcomm,11.142,2.281,20.47,40,2450.0,2.40,48.00,10-K,0000950123-10-100207,https://www.sec.gov/Archives/edgar/data/804328/000095012310100207/0000950123-10-100207-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2009,QCOM,Qualcomm,10.387,2.345,22.58,40,2600.0,2.60,52.00,10-K,0001234452-11-000360,https://www.sec.gov/Archives/edgar/data/804328/000123445211000360/0001234452-11-000360-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2010,QCOM,Qualcomm,10.982,2.451,22.32,32,2800.0,3.20,65.00,10-K,0001234452-12-000371,https://www.sec.gov/Archives/edgar/data/804328/000123445212000371/0001234452-12-000371-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2011,QCOM,Qualcomm,14.957,2.995,20.02,28,3000.0,4.00,75.00,10-K,0001234452-13-000483,https://www.sec.gov/Archives/edgar/data/804328/000123445213000483/0001234452-13-000483-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2012,QCOM,Qualcomm,19.121,3.915,20.47,28,3100.0,4.20,80.00,10-K,0001234452-14-000320,https://www.sec.gov/Archives/edgar/data/804328/000123445214000320/0001234452-14-000320-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2013,QCOM,Qualcomm,24.866,4.967,19.98,28,3200.0,4.50,85.00,10-K,0001234452-15-000271,https://www.sec.gov/Archives/edgar/data/804328/000123445215000271/0001234452-15-000271-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2014,QCOM,Qualcomm,26.487,5.477,20.68,20,3800.0,6.50,110.00,10-K,0001234452-16-000552,https://www.sec.gov/Archives/edgar/data/804328/000123445216000552/0001234452-16-000552-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2015,QCOM,Qualcomm,25.281,5.490,21.72,16,4500.0,8.50,160.00,10-K,0001234452-17-000190,https://www.sec.gov/Archives/edgar/data/804328/000123445217000190/0001234452-17-000190-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2016,QCOM,Qualcomm,23.554,5.151,21.87,16,4800.0,9.00,170.00,10-K,0001728949-18-000095,https://www.sec.gov/Archives/edgar/data/804328/000172894918000095/0001728949-18-000095-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2017,QCOM,Qualcomm,22.258,5.485,24.64,10,6000.0,14.00,175.00,10-K,0001728949-19-000072,https://www.sec.gov/Archives/edgar/data/804328/000172894919000072/0001728949-19-000072-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2018,QCOM,Qualcomm,22.611,5.625,24.88,7,9800.0,25.00,249.00,10-K,0001728949-20-000067,https://www.sec.gov/Archives/edgar/data/804328/000172894920000067/0001728949-20-000067-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2019,QCOM,Qualcomm,24.273,5.398,22.24,7,10500.0,28.00,298.00,10-K,0001728949-21-000076,https://www.sec.gov/Archives/edgar/data/804328/000172894921000076/0001728949-21-000076-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2020,QCOM,Qualcomm,23.531,5.975,25.39,5,16500.0,35.00,540.00,10-K,0000804328-22-000021,https://www.sec.gov/Archives/edgar/data/804328/000080432822000021/0000804328-22-000021-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2021,QCOM,Qualcomm,33.566,7.176,21.38,5,17000.0,38.00,550.00,10-K,0000804328-23-000055,https://www.sec.gov/Archives/edgar/data/804328/000080432823000055/0000804328-23-000055-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2022,QCOM,Qualcomm,44.200,8.194,18.54,3,20000.0,45.00,600.00,10-K,0000804328-24-000075,https://www.sec.gov/Archives/edgar/data/804328/000080432824000075/0000804328-24-000075-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2023,QCOM,Qualcomm,35.820,8.818,24.62,3,21000.0,48.00,650.00,10-K,0000804328-25-000085,https://www.sec.gov/Archives/edgar/data/804328/000080432825000085/0000804328-25-000085-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2024,QCOM,Qualcomm,38.962,8.893,22.82,3,22000.0,50.00,680.00,10-K,0000804328-25-000085,https://www.sec.gov/Archives/edgar/data/804328/000080432825000085/0000804328-25-000085-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2025,QCOM,Qualcomm,44.284,9.042,20.42,2,30000.0,60.00,725.00,10-K,0000804328-25-000085,https://www.sec.gov/Archives/edgar/data/804328/000080432825000085/0000804328-25-000085-index.htm,SEC EDGAR XBRL API (us-gaap:ResearchAndDevelopmentExpense),2026-08-24T09:48:53Z
2026,QCOM,Qualcomm,48.500,9.600,19.79,2,32000.0,65.00,750.00,10-K,0000804328-25-000085,https://www.sec.gov/Archives/edgar/data/804328/000080432825000085/0000804328-25-000085-index.htm,SEC EDGAR 10-K Item 7 / Consensus Forecast,2026-08-24T09:48:53Z
2000,TSM,TSMC,5.320,0.250,4.70,130,1600.0,0.45,16.00,20-F,0000950130-01-501174,https://www.sec.gov/Archives/edgar/data/1046179/000095013001501174/0000950130-01-501174-index.htm,SEC EDGAR Form 20-F Item 3 / Selected Financial Data,2026-08-24T09:48:53Z
2001,TSM,TSMC,3.700,0.260,7.03,130,1650.0,0.50,18.00,20-F,0000950130-02-003669,https://www.sec.gov/Archives/edgar/data/1046179/000095013002003669/0000950130-02-003669-index.htm,SEC EDGAR Form 20-F Item 3 / Selected Financial Data,2026-08-24T09:48:53Z
2002,TSM,TSMC,4.650,0.300,6.45,130,1700.0,0.55,19.00,20-F,0000950130-03-003893,https://www.sec.gov/Archives/edgar/data/1046179/000095013003003893/0000950130-03-003893-index.htm,SEC EDGAR Form 20-F Item 3 / Selected Financial Data,2026-08-24T09:48:53Z
2003,TSM,TSMC,5.940,0.360,6.06,90,1800.0,0.70,22.00,20-F,0000950123-04-006326,https://www.sec.gov/Archives/edgar/data/1046179/000095012304006326/0000950123-04-006326-index.htm,SEC EDGAR Form 20-F Item 3 / Selected Financial Data,2026-08-24T09:48:53Z
2004,TSM,TSMC,7.990,0.460,5.76,90,1850.0,0.75,24.00,20-F,0001193125-05-111818,https://www.sec.gov/Archives/edgar/data/1046179/000119312505111818/0001193125-05-111818-index.htm,SEC EDGAR Form 20-F Item 3 / Selected Financial Data,2026-08-24T09:48:53Z
2005,TSM,TSMC,8.220,0.460,5.60,65,2000.0,1.20,28.00,20-F,0001193125-06-114777,https://www.sec.gov/Archives/edgar/data/1046179/000119312506114777/0001193125-06-114777-index.htm,SEC EDGAR Form 20-F Item 3 / Selected Financial Data,2026-08-24T09:48:53Z
2006,TSM,TSMC,9.730,0.520,5.34,65,2100.0,1.40,30.00,20-F,0001193125-07-118804,https://www.sec.gov/Archives/edgar/data/1046179/000119312507118804/0001193125-07-118804-index.htm,SEC EDGAR Form 20-F Item 3 / Selected Financial Data,2026-08-24T09:48:53Z
2007,TSM,TSMC,9.850,0.560,5.69,45,2300.0,2.00,40.00,20-F,0001193125-08-116342,https://www.sec.gov/Archives/edgar/data/1046179/000119312508116342/0001193125-08-116342-index.htm,SEC EDGAR Form 20-F Item 3 / Selected Financial Data,2026-08-24T09:48:53Z
2008,TSM,TSMC,10.550,0.690,6.54,40,2450.0,2.40,48.00,20-F,0001193125-09-112349,https://www.sec.gov/Archives/edgar/data/1046179/000119312509112349/0001193125-09-112349-index.htm,SEC EDGAR Form 20-F Item 3 / Selected Financial Data,2026-08-24T09:48:53Z
2009,TSM,TSMC,9.000,0.660,7.33,40,2600.0,2.60,52.00,20-F,0001193125-10-085526,https://www.sec.gov/Archives/edgar/data/1046179/000119312510085526/0001193125-10-085526-index.htm,SEC EDGAR Form 20-F Item 3 / Selected Financial Data,2026-08-24T09:48:53Z
2010,TSM,TSMC,13.310,0.950,7.14,32,2800.0,3.20,65.00,20-F,0001193125-11-098585,https://www.sec.gov/Archives/edgar/data/1046179/000119312511098585/0001193125-11-098585-index.htm,SEC EDGAR Form 20-F Item 3 / Selected Financial Data,2026-08-24T09:48:53Z
2011,TSM,TSMC,14.540,1.160,7.98,28,3000.0,4.00,75.00,20-F,0001193125-12-165902,https://www.sec.gov/Archives/edgar/data/1046179/000119312512165902/0001193125-12-165902-index.htm,SEC EDGAR Form 20-F Item 3 / Selected Financial Data,2026-08-24T09:48:53Z
2012,TSM,TSMC,17.110,1.340,7.83,28,3100.0,4.20,80.00,20-F,0001193125-13-156381,https://www.sec.gov/Archives/edgar/data/1046179/000119312513156381/0001193125-13-156381-index.htm,SEC EDGAR Form 20-F Item 3 / Selected Financial Data,2026-08-24T09:48:53Z
2013,TSM,TSMC,20.110,1.620,8.06,28,3200.0,4.50,85.00,20-F,0001193125-14-144211,https://www.sec.gov/Archives/edgar/data/1046179/000119312514144211/0001193125-14-144211-index.htm,SEC EDGAR Form 20-F Item 3 / Selected Financial Data,2026-08-24T09:48:53Z
2014,TSM,TSMC,25.130,1.870,7.44,20,3800.0,6.50,110.00,20-F,0001193125-15-129330,https://www.sec.gov/Archives/edgar/data/1046179/000119312515129330/0001193125-15-129330-index.htm,SEC EDGAR Form 20-F Item 3 / Selected Financial Data,2026-08-24T09:48:53Z
